No.,Country,Capital,Population
1,Andorra,Andorra la Vella,84000
2,United Arab Emirates,Abu Dhabi,4975593
3,Afghanistan,Kabul,29121286
4,Antigua and Barbuda,St. John's,86754
5,Anguilla,The Valley,13254
6,Albania,Tirana,2986952
7,Armenia,Yerevan,2968000
8,Angola,Luanda,13068161
9,Antarctica,None,0
10,Argentina,Buenos Aires,41343201
11,American Samoa,Pago Pago,57881
12,Austria,Vienna,8205000
13,Australia,Canberra,21515754
14,Aruba,Oranjestad,71566
15,Åland,Mariehamn,26711
16,Azerbaijan,Baku,8303512
17,Bosnia and Herzegovina,Sarajevo,4590000
18,Barbados,Bridgetown,285653
19,Bangladesh,Dhaka,156118464
20,Belgium,Brussels,10403000
21,Burkina Faso,Ouagadougou,16241811
22,Bulgaria,Sofia,7148785
23,Bahrain,Manama,738004
24,Burundi,Bujumbura,9863117
25,Benin,Porto-Novo,9056010
26,Saint Barthélemy,Gustavia,8450
27,Bermuda,Hamilton,65365
28,Brunei,Bandar Seri Begawan,395027
29,Bolivia,Sucre,9947418
30,Bonaire,Kralendijk,18012
31,Brazil,Brasília,201103330
32,Bahamas,Nassau,301790
33,Bhutan,Thimphu,699847
34,Bouvet Island,None,0
35,Botswana,Gaborone,2029307
36,Belarus,Minsk,9685000
37,Belize,Belmopan,314522
38,Canada,Ottawa,33679000
39,Cocos [Keeling] Islands,West Island,628
40,Democratic Republic of the Congo,Kinshasa,70916439
41,Central African Republic,Bangui,4844927
42,Republic of the Congo,Brazzaville,3039126
43,Switzerland,Bern,7581000
44,Ivory Coast,Yamoussoukro,21058798
45,Cook Islands,Avarua,21388
46,Chile,Santiago,16746491
47,Cameroon,Yaoundé,19294149
48,China,Beijing,1330044000
49,Colombia,Bogotá,47790000
50,Costa Rica,San José,4516220
51,Cuba,Havana,11423000
52,Cape Verde,Praia,508659
53,Curacao,Willemstad,141766
54,Christmas Island,Flying Fish Cove,1500
55,Cyprus,Nicosia,1102677
56,Czech Republic,Prague,10476000
57,Germany,Berlin,81802257
58,Djibouti,Djibouti,740528
59,Denmark,Copenhagen,5484000
60,Dominica,Roseau,72813
61,Dominican Republic,Santo Domingo,9823821
62,Algeria,Algiers,34586184
63,Ecuador,Quito,14790608
64,Estonia,Tallinn,1291170
65,Egypt,Cairo,80471869
66,Western Sahara,Laâyoune / El Aaiún,273008
67,Eritrea,Asmara,5792984
68,Spain,Madrid,46505963
69,Ethiopia,Addis Ababa,88013491
70,Finland,Helsinki,5244000
71,Fiji,Suva,875983
72,Falkland Islands,Stanley,2638
73,Micronesia,Palikir,107708
74,Faroe Islands,Tórshavn,48228
75,France,Paris,64768389
76,Gabon,Libreville,1545255
77,United Kingdom,London,62348447
78,Grenada,St. George's,107818
79,Georgia,Tbilisi,4630000
80,French Guiana,Cayenne,195506
81,Guernsey,St Peter Port,65228
82,Ghana,Accra,24339838
83,Gibraltar,Gibraltar,27884
84,Greenland,Nuuk,56375
85,Gambia,Bathurst,1593256
86,Guinea,Conakry,10324025
87,Guadeloupe,Basse-Terre,443000
88,Equatorial Guinea,Malabo,1014999
89,Greece,Athens,11000000
90,South Georgia and the South Sandwich Islands,Grytviken,30
91,Guatemala,Guatemala City,13550440
92,Guam,Hagåtña,159358
93,Guinea-Bissau,Bissau,1565126
94,Guyana,Georgetown,748486
95,Hong Kong,Hong Kong,6898686
96,Heard Island and McDonald Islands,None,0
97,Honduras,Tegucigalpa,7989415
98,Croatia,Zagreb,4491000
99,Haiti,Port-au-Prince,9648924
100,Hungary,Budapest,9982000
101,Indonesia,Jakarta,242968342
102,Ireland,Dublin,4622917
103,Israel,None,7353985
104,Isle of Man,Douglas,75049
105,India,New Delhi,1173108018
106,British Indian Ocean Territory,None,4000
107,Iraq,Baghdad,29671605
108,Iran,Tehran,76923300
109,Iceland,Reykjavik,308910
110,Italy,Rome,60340328
111,Jersey,Saint Helier,90812
112,Jamaica,Kingston,2847232
113,Jordan,Amman,6407085
114,Japan,Tokyo,127288000
115,Kenya,Nairobi,40046566
116,Kyrgyzstan,Bishkek,5776500
117,Cambodia,Phnom Penh,14453680
118,Kiribati,Tarawa,92533
119,Comoros,Moroni,773407
120,Saint Kitts and Nevis,Basseterre,51134
121,North Korea,Pyongyang,22912177
122,South Korea,Seoul,48422644
123,Kuwait,Kuwait City,2789132
124,Cayman Islands,George Town,44270
125,Kazakhstan,Astana,15340000
126,Laos,Vientiane,6368162
127,Lebanon,Beirut,4125247
128,Saint Lucia,Castries,160922
129,Liechtenstein,Vaduz,35000
130,Sri Lanka,Colombo,21513990
131,Liberia,Monrovia,3685076
132,Lesotho,Maseru,1919552
133,Lithuania,Vilnius,2944459
